1126081536175091714	2019-05-08 11:08:54+00:00	Huge excitement at the official opening of Griffith Barracks Multi-D School on the grounds of Griffith Barracks Dublin 8 - ice cream in the rain, cake, a brilliant turnout from parents and a great idea to be... https://t.co/gui6Zcx8Z9
1126182064598990848	2019-05-08 17:48:22+00:00	.@OireachtasNews taking Qs this evening in the Dáil. https://t.co/12vNZdDJom
1127176995614466049	2019-05-11 11:41:52+00:00	Great campaign video from Maria Walsh  Vote Maria Walsh No1 for Europe on Friday May 24.  #MariaForEurope https://t.co/M6EePRjwlC
1128012491257208832	2019-05-13 19:01:50+00:00	Delighted and honoured to be here as special guest at tonight's Loreto Community School Prizegiving..well done to Margaret and her team, and to everyone involved, especially the talented students #Loreto #Milford #Prizegiving — feeling delighted at... https://t.co/L5jdIQHlVt
1128540338786832389	2019-05-15 05:59:18+00:00	Canvassed last night with Siobhan Shovlin - Local Election Candidate in Dublin - a young woman with a bright future ahead of her. https://t.co/3zRp0TWwgP
1128963541204176898	2019-05-16 10:00:58+00:00	Out in Co Kildare this morning and a real pleasure to drop into Cross and Passion College Kilcullen before joining Fine Gael Martin Heydon TD and proud guests to officially open the five new classrooms at Ardscoil na Trinoide.
1129070062646779904	2019-05-16 17:04:14+00:00	Great pic https://t.co/cuOXQFQDEy
1130411330618515463	2019-05-20 09:53:57+00:00	Third-level grant in honour of Irish Nobel prize winner via @RTENewsNow &amp; thanks to all those ⁦@dfatirl⁩ ⁦@Education_Ire⁩ @Merck ⁦@LYIT⁩ ⁦@DonegalETB⁩ ⁦@RIAdawson⁩ for interest on properly honouring Prof Campbell’s legacy  https://t.co/7iOX1ola7N
1133827138346455040	2019-05-29 20:07:09+00:00	Real story of #Elections2019 is @FineGael up 20 seats &amp; resounding success in #EuroElections2019 &amp; the public looking for a new face, a new voice in @MariaWalshEU &amp; a party of progress, not tired parties of protest. #MariaWalsh congrats from WashingtonDC!! https://t.co/CLyj0Mis7P
1138829259634556931	2019-06-12 15:23:48+00:00	Hand delivered passport today in #AbuDhabi to Michael &amp; Avril Carr and one of our newest Irish ☘️ 🇮🇪 citizen 5 week old Carabella - all the way from Kilcar and out in the UAE. Feeling the comforts of home on a @StudioDonegal scarf. https://t.co/KixC8mbJAe
1138863034221420545	2019-06-12 17:38:01+00:00	Thank you to all the teachers who came to #AbuDhabi to voice issues and make valuable contributions for work on solutions - Many issues were put out there &amp; discussed including pay, rules on career breaks, cost of living in Dublin, housing, recognition of experience 1/2
1141973913758511104	2019-06-21 07:39:32+00:00	.@ReginaDo is bringing in regs to do two things for workers and their tips  - amend existing law to ensure tips and gratuities cannot be used to ‘make-up’ a worker’s wage. - employers must clearly display how tips, gratuities &amp; service charges are distributed.
1154302796109426688	2019-07-25 08:10:07+00:00	Deas buaileadh le baill de Choiste Forbartha na Carraige, An Charraig, aréir, agus comhghairdeas mór leis an coiste don mhaoiniú de €130,000 a cheadaíodh daofa inné le clós-súgartha a chur i gcrích sa cheantar.. le John McNulty  #Gaeltacht https://t.co/emeNt93oMO
1154338493797150726	2019-07-25 10:31:58+00:00	Beo ar @Barrscealta1 le @AineEibhlin anois in @roartysbar roimh an Chruinniú Comh-Airreachta @SeanKyneTD @RTERnaG #Barrscéalta #Gaeilge #CabinetMeeting #GleannCholmCille https://t.co/XBSQlotBE5
1159120499676536832	2019-08-07 15:13:57+00:00	Thar €77,000 ceadaithe inniu do @NaDunaibh chun oibreacha a dhéanamh ar an Clubtheach @DeptAHG #Gaeltacht #Gaeilge https://t.co/zfJXhSGhav
1161203831683846144	2019-08-13 09:12:22+00:00	Congratulations to everyone for #LeavingCert2019 - Remember, there are many other days, decisions, challenges and choices that will define your life. This is just one. Take care of each other. https://t.co/bL2nKRUD5b
1164287449247440901	2019-08-21 21:25:33+00:00	Not everyday in the job you see good news like this... Best wishes principal Margaret O’Connor ⁦@LoretoMilford_⁩ &amp; Fiona Temple in ⁦@MulroyCollege⁩ It’ll make a world of difference as the schools go on to bigger and better things. https://t.co/p9e6Lpa5kG
1169912831145369600	2019-09-06 09:58:49+00:00	Last time in Glenswilly NS pupils put on a play about how badly they needed a bigger school. Now the news they wanted - green light to tender for a massive extension of 5 new classrooms, a GP hall, 3 special ed rooms &amp; a refurb job. Thank you to principal Joe Gallinagh &amp; everyone https://t.co/NdWUb2zcka
1173858590404296704	2019-09-17 07:17:51+00:00	Fantastic project &amp; great to see recognition for those who dedicate their life to inspiring others @DublinCityUni ⁦@RTERadio1⁩ @RTENewsAtOne  https://t.co/YEDazJI7yx
1174037986805202945	2019-09-17 19:10:43+00:00	Get in. https://t.co/TX1wEOq31a
1176841026557927427	2019-09-25 12:49:00+00:00	Thanks to 5th and 6th class at St Patrick’s Boys School in #Carndonagh for the warm welcome earlier this week - and tough questions on #Brexit, Climate Change, taxes &amp; public services amongst others https://t.co/YdlUTvAaPx
1177166821126037506	2019-09-26 10:23:35+00:00	Thanks to @ETBIreland for asking me to come and speak and listen at your conference in Athlone. Someone used to say troublemakers up the front of the room... @DonegalETB https://t.co/Irt8ktA9R1
1177580503991488512	2019-09-27 13:47:25+00:00	Wait for good news to come &amp; then two crackers in one day... St Mary’s NS Stranorlar also moving to tender for the new 3 storey 24 classroom school.  Diggers in the ground next year &amp; before we know it we’ll be looking at bricks being laid &amp; pupils getting a top class school. https://t.co/T1Hjv1V5Bd
1179437962460893185	2019-10-02 16:48:17+00:00	In Seanad for Second Stage of Student &amp; Parent Charter Bill @OireachtasNews fundamental aim is to improve engagement between schools, students and parents in a spirit of partnership by inviting feedback, comment &amp; observations &amp; by developing a listening culture in the school https://t.co/2vw2AymPYa
1179458607244554246	2019-10-02 18:10:19+00:00	Dáil statement on progress towards talks on pay for secretaries and caretakers https://t.co/B4ycGfHeTG
1181595751106961408	2019-10-08 15:42:34+00:00	We are trying to reduce costs for families - prescription charges cut by 50 cent; thresholds for over 70s for medical cards will increase;  plan to provide free GP care to children under 8 &amp; free dental care for children under6 from Sept. 2020 #Budget2020 @FineGael @roinnslainte
1186929115582156805	2019-10-23 08:55:27+00:00	Thank you for opportunity @IWish_ie @OireachtasNews to hear your views on encouraging more young women to take up STEM options in school &amp; look at careers in this. Your work is hugely inspirational for thousands of young women. #iwish20 https://t.co/OXbYOhgB2H
1187286688554463232	2019-10-24 08:36:19+00:00	Really great to meet up with this inspirational group yesterday - Lucas McUtear, Paul McCormack, Joe Geraghty, Rahim Nazarali of @Education_Ire First met then at ISPS Handa Vision Cup for blind golfers @PGC1894 https://t.co/ZJvyYSDUbA
1192401496299724800	2019-11-07 11:20:45+00:00	Interesting ideas at #FutureJobsIreland with @LeoVaradkar @mitchelloconnor @HHumphreysFG &amp; reflecting on how to help vulnerable workers &amp; prepare others for jobs of tomorrow https://t.co/4OaYfd36K3
1193970794680004614	2019-11-11 19:16:35+00:00	A lesson in many things this 👇🏼 top class sports women, history, PE, flying the 🇮🇪, team spirit, role models &amp; good times in school! Any more? 💯 - #COYGIG https://t.co/ObQ9v8RW4X
1194401226898780160	2019-11-12 23:46:58+00:00	Bricfeásta Gaelach i Scoil Náisiúnta na Sráithe Móire Gleann Domhain maidin inniu, maith sibh Therese, an foireann agus na páistí uilig #Gaeilge24 @CnaG #Gaeilge #StramoreNS https://t.co/ov3wWcc2rY
1195275875215978497	2019-11-15 09:42:30+00:00	Tá an-áthas orm a bheith i gCorcaigh ar maidin chun cúrsaí oideachais lán-Ghaeilge a phlé agus chun bualadh le múinteoirí Gaeilge. Ceol álainn ó dhaltaí Choláiste Ghobnatan #Tionol2019 @Gaeloid @CoggOid @ForasnaGaeilge https://t.co/rZTGVEdNDs
1197112495321878529	2019-11-20 11:20:34+00:00	More top class support for sport in #Donegal - announcing more than €200k Regional Sports Capital funding for m @Royalandprior @RaphoeHockey for new hockey pitch surface &amp; training equip for @LyIT Thanks to @BGriffinTD for backing our county again
1197526619042320386	2019-11-21 14:46:09+00:00	Joined the YouthReach advocates @Education_Ire this morning. I worked on this in the 90s &amp; you should be proud of your role helping to educate &amp; train young people @ETBIreland @DonegalETB @DonegalYR https://t.co/kK7jkhTdH3
1219233149810565120	2020-01-20 12:20:09+00:00	@ExploriumI testing the bed of nails https://t.co/o5gL5yjBgo
1225086038244282369	2020-02-05 15:57:27+00:00	Lovely to visit Scoil Naomh Brid Na Dúnaibh ar maidin, and nice to chat to príomhoide Terri Martin about the new school extension which will add to the wonderful education being delivered here #NaDúnaibh https://t.co/URkUJ9LUw3
1225113347277959171	2020-02-05 17:45:58+00:00	Outside broadcast @drivetimerte @JacksonsHotel1 #Donegal https://t.co/OiHUlZ3G5k
1225406277179904009	2020-02-06 13:09:58+00:00	This is the dregs @fiannafailparty @MichealMartinTD going almost as low as in 2010 when you turned our country into an economic basket case.   Now, demeaning a young, intelligent woman working at centre of Govt, representing the country on the int’l stage. WHY? #togh2020 #GE2020 https://t.co/5MMjSvaHnA
1229761927808798722	2020-02-18 13:37:46+00:00	Congrats to Avril - brilliant idea, great app for parents &amp; fingers crossed for the awards!  https://t.co/Yy3s4CeR0D
1233799038245507073	2020-02-29 16:59:48+00:00	Lúchair orm bheith i láthair ag Craobh Réigiúnda Clár na gComhlachtaí an tseachtain seo i @PobalscoilD ..Comhghairdeas mór le na hiomaitheoirí uilig as Coláiste na Carraige, @gsmhicd Béal an Atha Mhóir &amp; @PobalscoilD @UdarasnaG @JA_Irl #Gaeilge https://t.co/Bj8ySQaN1P
1234853778240811009	2020-03-03 14:50:57+00:00	At Government Buildings Dublin today with @LeoVaradkar @SimonHarrisTD for post cabinet briefing on response to #Covid_19 in Ireland. https://t.co/7MFZMluoXh
1236910720073306112	2020-03-09 07:04:31+00:00	Very informative piece by ⁦@news2dayRTE⁩ &amp; ⁦@roinnslainte⁩   Dr Ronan Glynn with answers to may coronavirus questions from young people ⁦@Education_Ire⁩ @RTENewsNow https://t.co/hR7G2rAQOz
1237348688634220544	2020-03-10 12:04:50+00:00	Delighted to approve extension and redevelopment works for two Donegal schools, Scoil Roisín in Dungloe and Dunkineely National School.. comhghairdeas, maith sibh https://t.co/yMmUHV2tO4
1237405909250441226	2020-03-10 15:52:13+00:00	Thank you for sharing the important clarification. https://t.co/JzFM8PtPBI
1237430741203632131	2020-03-10 17:30:53+00:00	Tuilleadh eolais curtha ar fáil do scoileanna ag an Príomhoifigeach Leighis Tony Holohan @roinnslainte @Education_Ire https://t.co/IznganIUz8
1239895894167891974	2020-03-17 12:46:31+00:00	Brilliant .@WillSliney ☘️ https://t.co/QAsKnyIqu5
